# Failure Matrix - V1.0.4_2026-04-28_2215

Component | Expected | Observed | Status | Evidence | Likely Meaning
----------|----------|----------|--------|----------|----------------
OpenCore boot-args | -v -liludbg -NGreenDebug ngreenSched=3 -ngreenforceprops | Same | PASS | nvram boot-args shows expected flags | Test configuration correct
Lilu load | YES | YES | PASS | kmutil shows Lilu 1.7.3 | Lilu loaded successfully
NootedGreen load | YES | YES | PASS | kmutil shows NootedGreen 1.0.4 | NootedGreen loaded successfully
NootedGreen version | 1.0.4 | 1.0.4 | PASS | CFBundleVersion 1.0.4 | Version matches
NootedGreen patch application | Expected | Unknown | UNKNOWN | No debug logs visible in filtered output | Kernel logs not collected properly
NootedGreen function routing | Expected | Unknown | UNKNOWN | No routing logs visible | Need verbose Lilu/NootedGreen logging
IGPU IORegistry presence | YES | YES | PASS | IGPU@2 present in ioreg | IGPU detected
IGPU device-id | 0x9a49 | 0x9a49 | PASS | compatible shows pci8086,9a49 | TigerLake detected correctly
IGPU platform-id | Varies | Unknown | UNKNOWN | Not visible in filtered IOReg | Need specific property dump
AppleIntel graphics kext load | YES | YES | PASS | AppleIntelTGLGraphicsFramebuffer loaded | Framebuffer loaded
AppleIntel framebuffer attach | YES | Likely YES | PASS | Display online | Framebuffer working
AppleIntel accelerator attach | Unknown | Unknown | UNKNOWN | Need IOAccelerator check | Need verification
Framebuffer service publication | YES | YES | PASS | Display online | Framebuffer published correctly
IOFramebuffer availability | YES | YES | PASS | Display shows in system_profiler | IOFramebuffer available
EDID present | YES | Likely | PARTIAL | Display shows correct resolution | EDID likely present
VBT present | Unknown | Unknown | UNKNOWN | Not checked | Need specific IOReg check
OpRegion present | Unknown | Unknown | UNKNOWN | Not checked | Need specific IOReg check
Display online | YES | YES | PASS | system_profiler shows "Online: Yes" | Display working
Display mode publication | YES | YES | PASS | 1920x1080 available | Modes published
Backlight service | Expected | Unknown | UNKNOWN | Not verified | Need backlight check
WindowServer startup | YES | Likely YES | PASS | Desktop reached | WS started
CoreDisplay transaction | Successful | Likely SUCCESS | PASS | No timeout errors visible | CoreDisplay working
IOAccelDisplayPipeUserClient2 | Present | Unknown | UNKNOWN | Not checked in IOReg | Need specific check
IOAccelerator attach | YES | Unknown | UNKNOWN | Need verification | IOAcceleratorFamily2 loaded but need device check
Metal support | YES | YES | PASS | system_profiler shows "Metal: Supported" | Metal available
GuC firmware | Skipped/Optional | Unknown | UNKNOWN | Not checked | Firmware not visible in logs
HuC firmware | Skipped/Optional | Unknown | UNKNOWN | Not checked | Firmware not visible in logs
DMC firmware | Skipped/Optional | Unknown | UNKNOWN | Not checked | Firmware not visible in logs
forcewake | Working | Unknown | UNKNOWN | Not checked | Ring state not visible
power wells | Working | Unknown | UNKNOWN | Not checked | Power state not visible
MMIO BAR0 | Accessible | Unknown | UNKNOWN | Not checked | MMIO not verified
RCS ring | Unknown | Unknown | UNKNOWN | Not checked | Ring state not visible
BCS ring | Unknown | Unknown | UNKNOWN | Not checked | Ring state not visible
VCS ring | Unknown | Unknown | UNKNOWN | Not checked | Ring state not visible
VECS ring | Unknown | Unknown | UNKNOWN | Not checked | Ring state not visible
execlists | Unknown | Unknown | UNKNOWN | Not checked | Execlists not verified
stamp advancement | Working | Unknown | UNKNOWN | No timeout visible | Stamp advancing correctly
Panic status | NONE | NONE | PASS | No panic in current boot | System clean
Crash reports | NONE | NONE | PASS | No recent crash reports | No issues
